Curve curve_gentle
1.0 1.0
2.0 0.8
3.0 0.7
4.0 0.6
5.0 0.5
6.0 0.4
7.0 0.3
8.0 0.2
9.0 0.1
10.0 0.0

Curve curve_deadline2
1.0 1.0
1.999 1.0
2.0 0.0

Curve curve_deadline5
1.0 1.0
4.999 1.0
5.0 0.0

Curve curve_slr
1.0 1.0
1.1 0.9090909090909091
1.2 0.8333333333333334
1.3 0.7692307692307692
1.4 0.7142857142857143
1.5 0.6666666666666666
1.6 0.625
1.7 0.5882352941176471
1.8 0.5555555555555556
1.9 0.5263157894736842
2.0 0.5
2.1 0.47619047619047616
2.2 0.45454545454545453
2.3 0.4347826086956522
2.4 0.4166666666666667
2.5 0.4
2.6 0.3846153846153846
2.7 0.37037037037037035
2.8 0.35714285714285715
2.9 0.3448275862068966
3.0 0.3333333333333333
3.1 0.3225806451612903
3.2 0.3125
3.3 0.30303030303030304
3.4 0.29411764705882354
3.5 0.2857142857142857
3.6 0.2777777777777778
3.7 0.27027027027027023
3.8 0.2631578947368421
3.9 0.25641025641025644
4.0 0.25
4.1 0.24390243902439027
4.2 0.23809523809523808
4.3 0.23255813953488372
4.4 0.22727272727272727
4.5 0.2222222222222222
4.6 0.2173913043478261
4.7 0.2127659574468085
4.8 0.20833333333333334
4.9 0.2040816326530612
5.0 0.2
5.1 0.19607843137254904
5.2 0.1923076923076923
5.3 0.18867924528301888
5.4 0.18518518518518517
5.5 0.18181818181818182
5.6 0.17857142857142858
5.7 0.17543859649122806
5.8 0.1724137931034483
5.9 0.1694915254237288
6.0 0.16666666666666666
6.1 0.1639344262295082
6.2 0.16129032258064516
6.3 0.15873015873015872
6.4 0.15625
6.5 0.15384615384615385
6.6 0.15151515151515152
6.7 0.14925373134328357
6.8 0.14705882352941177
6.9 0.14492753623188406
7.0 0.14285714285714285
7.1 0.14084507042253522
7.2 0.1388888888888889
7.3 0.136986301369863
7.4 0.13513513513513511
7.5 0.13333333333333333
7.6 0.13157894736842105
7.7 0.12987012987012986
7.8 0.12820512820512822
7.9 0.12658227848101264
8.0 0.125
8.1 0.1234567901234568
8.2 0.12195121951219513
8.3 0.12048192771084336
8.4 0.11904761904761904
8.5 0.11764705882352941
8.6 0.11627906976744186
8.7 0.1149425287356322
8.8 0.11363636363636363
8.9 0.11235955056179775
9.0 0.1111111111111111
9.1 0.10989010989010989
9.2 0.10869565217391305
9.3 0.1075268817204301
9.4 0.10638297872340426
9.5 0.10526315789473684
9.6 0.10416666666666667
9.7 0.10309278350515465
9.8 0.1020408163265306
9.9 0.10101010101010101
10.0 0.1
100.0 0.01
1000.0 0.0001
10000.0 0.0




