JobName,SubmitTime,StartTime,FinishTime,SLR,CriticalPathTime,TotalCPUTicks,Stretch,Speedup,
j1,0,0,312,1.0,312,312,1.0,1.0
j2,0,0,8,1.0,8,1333,0.00600150037509,166.625
j3,0,0,5,1.0,5,1188,0.00420875420875,237.6
j4,0,0,2,1.0,2,184,0.0108695652174,92.0
j5,0,0,12,1.0,12,2506,0.0047885075818,208.833333333
j6,0,0,4,1.0,4,676,0.00591715976331,169.0
j7,0,0,6,1.0,6,443,0.0135440180587,73.8333333333
j8,0,0,2,1.0,2,332,0.00602409638554,166.0
j9,0,0,10,1.0,10,1834,0.00545256270447,183.4
j10,0,0,29,1.0,29,1479,0.0196078431373,51.0
